path	classification	reason_code	owner_plan	finding_ids	p0_disposition	project_exit_state
.dockerignore	contract_or_build_dependency	project_metadata	NA	-	contract_dependency	NA
.github/workflows/repository-policy.yml	contract_or_build_dependency	validation_dependency	NA	-	contract_dependency	NA
.github/workflows/rust-quality.yml	contract_or_build_dependency	validation_dependency	NA	-	contract_dependency	NA
.gitignore	contract_or_build_dependency	project_metadata	NA	-	contract_dependency	NA
AGENTS.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
CHANGELOG.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
Dockerfile	contract_or_build_dependency	build_dependency	NA	-	contract_dependency	NA
MCP服务器开发对接指南.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
README.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docker-compose.yml	contract_or_build_dependency	build_dependency	NA	-	contract_dependency	NA
docker/nginx.conf	contract_or_build_dependency	build_dependency	NA	-	contract_dependency	NA
docs/AGENTS.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/Agent基础设施优化建议.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/Capability接入指南.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/SeedPilot业务能力地图-非界面版-高清.png	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/SeedPilot路演宣传文案与产品发布PPT大纲.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/api/API更新日志.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/api/api-doc.html	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/checkpoint/2026-05-28-thread-event-checkpoint-time-travel-design.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/checkpoint/2026-05-28-thread-event-checkpoint-time-travel-implementation-plan.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/00-MCPRuntime联合改造总览PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/01-Phase0-协议契约夹具与验收基线PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/02-Phase1-Sidecar契约与PythonFacadePRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/03-Phase2-StreamableHTTP与SSE内核PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/04-Phase3-Tasks长任务状态与DurableRegistryPRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/05-Phase4-API事件桥接取消与Executor集成PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/06-Phase5-ShadowEnforce生产门禁与Legacy下线PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/README.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/compatibility/01-协议版本与协商内核PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/compatibility/02-2024-11-05-LegacyHTTP-SSETransportPRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/compatibility/03-2025Plus-StreamableHTTP多版本收敛PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/compatibility/04-ConformanceGate文档同步与Sidecar口径PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/compatibility/README.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/official-sdk-compatibility/01-MCPServerConfig与AdapterContractPRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/official-sdk-compatibility/02-2024LegacyHTTPSSE完整协议PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/official-sdk-compatibility/03-OfficialRustSDKAdapterShadowComparePRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/official-sdk-compatibility/04-四版本ConformanceGate与EnforceRolloutPRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/official-sdk-compatibility/README.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/user-scoped-on-demand/01-用户级MCP配置凭据与按需GatewayPRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/user-scoped-on-demand/02-MCP两级路由授权与任务执行闭环PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/MCP/user-scoped-on-demand/03-按需MCP灰度切换与旧Runtime下线PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/README.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/00-主代理框架PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/01-产品目标与范围.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/02-编排模型与资源调度.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/03-协作协议与任务生命周期.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/04-状态存储与迁移策略.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/05-API与核心数据模型.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/08-主代理Skill兼容与真实LLM运行时.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/10-对话上下文记忆与压缩PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/11-Skill输出文件Artifact与下载PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/12-Skill一等Capability能力池PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
docs/prd/backend/13-Skill动态加载与热部署PRD.md	explicit_out_of_scope	documentation	NA	-	out_of_scope	NA
